name,new_name,description,filter,scale,formula,comment
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LlcPrefDRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LlcPrefCRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LlcPrefRFO,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LlcPrefDRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LlcPrefCRD,,,Filter1,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LlcPrefRFO,,,Filter1,,,
UNC_IIO_CLOCKTICKS,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_WRITE.PART0,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_WRITE.PART1,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_WRITE.PART2,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_WRITE.PART3,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_READ.PART0,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_READ.PART1,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_READ.PART2,,,,,,
UNC_IIO_PAYLOAD_BYTES_IN.MEM_READ.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_WRITE.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_WRITE.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_WRITE.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_WRITE.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_READ.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_READ.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_READ.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.PEER_READ.PART3,,,,,,
