name,new_name,description,filter,scale,formula,comment
UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART0,LLC_MISSES.PCIE_READ,PCI Express bandwidth reading at IIO,ch_mask=0x1f,4,"UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART0 + UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART1 + UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART2 + UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART3",
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART0,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART1,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART2,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART0,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART1,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART2,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART3,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART0,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART1,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART2,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART3,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART0,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART1,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART2,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART3,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART0,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART1,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART2,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART3,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART4,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART5,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART6,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_WRITE.PART7,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART4,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART5,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART6,,,,,,
UNC_IIO_DATA_REQ_BY_CPU.MEM_READ.PART7,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_WRITE.PART4,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_WRITE.PART5,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_WRITE.PART6,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_WRITE.PART7,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART4,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART5,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART6,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.MEM_READ.PART7,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART4,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART5,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART6,,,,,,
UNC_IIO_DATA_REQ_OF_CPU.CMPD.PART7,,,,,,
UNC_IIO_NUM_REQ_OF_CPU.COMMIT.ALL,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART4,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART5,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART6,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_WRITE.PART7,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART4,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART5,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART6,,,,,,
UNC_IIO_TXN_REQ_BY_CPU.MEM_READ.PART7,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART4,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART5,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART6,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_WRITE.PART7,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART4,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART5,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART6,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.MEM_READ.PART7,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART4,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART5,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART6,,,,,,
UNC_IIO_TXN_REQ_OF_CPU.CMPD.PART7,,,,,,
UNC_IIO_CLOCKTICKS_FREERUN,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART0,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART1,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART2,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART3,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART4,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART5,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART6,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.PART7,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART0,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART7,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART6,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART5,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART4,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART3,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART2,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.PART1,,,,,,
UNC_IIO_COMP_BUF_INSERTS.CMPD.ALL_PARTS,,,,,,
UNC_IIO_COMP_BUF_OCCUPANCY.CMPD.ALL_PARTS,,,,,,
UNC_I_MISC1.LOST_FWD,,,,,,
UNC_I_COHERENT_OPS.PCITOM,,,,,,
UNC_I_COHERENT_OPS.WBMTOI,,,,,,
UNC_I_CACHE_TOTAL_OCCUPANCY.MEM,,,,,,
UNC_I_IRP_ALL.INBOUND_INSERTS,,,,,,
UNC_I_TRANSACTIONS.WR_PREF,,,,,,
UNC_I_CLOCKTICKS,,,,,,
UNC_I_FAF_FULL,,,,,,
UNC_I_FAF_INSERTS,,,,,,
UNC_I_FAF_OCCUPANCY,,,,,,
UNC_I_FAF_TRANSACTIONS,,,,,,
UNC_I_SNOOP_RESP.ALL_HIT_M,,,,,,
UNC_M_PRE_COUNT.RD,,Pre-charge for reads,,,,
UNC_M_PRE_COUNT.WR,,Pre-charge for writes,,,,
UNC_M_CAS_COUNT.RD,,,,,,
UNC_M_CAS_COUNT.RD,LLC_MISSES.MEM_READ,read requests to memory controller,,64,,
UNC_M_CAS_COUNT.WR,,,,,,
UNC_M_CAS_COUNT.WR,LLC_MISSES.MEM_WRITE,write requests to memory controller,,64,,
UNC_M_CAS_COUNT.ALL,,,,,,
UNC_M_DRAM_REFRESH.OPPORTUNISTIC,,,,,,
UNC_M_DRAM_REFRESH.PANIC,,,,,,
UNC_M_DRAM_REFRESH.HIGH,,,,,,
UNC_M_RPQ_INSERTS.PCH0,,,,,,
UNC_M_RPQ_INSERTS.PCH1,,,,,,
UNC_M_WPQ_INSERTS.PCH0,,,,,,
UNC_M_WPQ_INSERTS.PCH1,,,,,,
UNC_M_PRE_COUNT.PGT,,,,,,
UNC_M_CLOCKTICKS,,Memory controller clock ticks,,,,
UNC_M_HCLOCKTICKS,,,,,,
UNC_M_RPQ_OCCUPANCY_PCH0,,,,,,
UNC_M_RPQ_OCCUPANCY_PCH1,,,,,,
UNC_M_WPQ_OCCUPANCY_PCH0,,,,,,
UNC_M_WPQ_OCCUPANCY_PCH1,,,,,,
UNC_M_ACT_COUNT.ALL,,,,,,
UNC_M_PRE_COUNT.ALL,,,,,,
UNC_M2M_CLOCKTICKS,,,,,,
UNC_M2M_CMS_CLOCKTICKS,,,,,,
UNC_M2P_CLOCKTICKS,,,,,,
UNC_M2P_CMS_CLOCKTICKS,,,,,,
UNC_U_CLOCKTICKS,,,,,,
UNC_P_CLOCKTICKS,,,,,,
UNC_CHA_LLC_VICTIMS.LOCAL_ALL,,,,,,
UNC_CHA_COUNTER0_OCCUPANCY,,,,,,
UNC_CHA_MISC.RFO_HIT_S,,,,,,
UNC_CHA_REQUESTS.INVITOE,,,,,,
