Family-model,Version,Filename,EventType,Core Type,Native Model ID,Core Role Name
GenuineIntel-6-4E,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-5E,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-4E,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-5E,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-4E,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-5E,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-4E,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-5E,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-8E,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-9E,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-8E,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-9E,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-8E,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-9E,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-8E,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-9E,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-A5,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-A6,V59,/SKL/events/skylake_core.json,core,,,
GenuineIntel-6-A5,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-A6,V59,/SKL/events/skylake_uncore.json,uncore,,,
GenuineIntel-6-A5,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-A6,V59,/SKL/events/skylake_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-A5,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-A6,V1.0,/SKL/metrics/skylake_metrics.json,metrics,,,
GenuineIntel-6-57,V16,/KNL/events/knightslanding_core.json,core,,,
GenuineIntel-6-57,V16,/KNL/events/knightslanding_matrix.json,offcore,,,
GenuineIntel-6-57,V16,/KNL/events/knightslanding_uncore.json,uncore,,,
GenuineIntel-6-85,V16,/KNL/events/knightslanding_core.json,core,,,
GenuineIntel-6-85,V16,/KNL/events/knightslanding_matrix.json,offcore,,,
GenuineIntel-6-85,V16,/KNL/events/knightslanding_uncore.json,uncore,,,
GenuineIntel-6-55-[01234],V1.37,/SKX/events/skylakex_core.json,core,,,
GenuineIntel-6-55-[01234],V1.37,/SKX/events/skylakex_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-55-[01234],V1.37,/SKX/events/skylakex_uncore.json,uncore,,,
GenuineIntel-6-55-[01234],V1.37,/SKX/events/skylakex_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-55-[01234],V1.0,/SKX/metrics/skylakex_metrics.json,metrics,,,
GenuineIntel-6-55-[56789ABCDEF],V1.25,/CLX/events/cascadelakex_core.json,core,,,
GenuineIntel-6-55-[56789ABCDEF],V1.25,/CLX/events/cascadelakex_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-55-[56789ABCDEF],V1.25,/CLX/events/cascadelakex_uncore.json,uncore,,,
GenuineIntel-6-55-[56789ABCDEF],V1.25,/CLX/events/cascadelakex_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-55-[56789ABCDEF],V1.0,/CLX/metrics/cascadelakex_metrics.json,metrics,,,
GenuineIntel-6-7A,V1.01,/GLP/events/goldmontplus_core.json,core,,,
GenuineIntel-6-7A,V1.01,/GLP/events/goldmontplus_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-7A,V1.01,/GLP/events/goldmontplus_matrix.json,offcore,,,
GenuineIntel-6-7D,V1.24,/ICL/events/icelake_core.json,core,,,
GenuineIntel-6-7D,V1.24,/ICL/events/icelake_uncore.json,uncore,,,
GenuineIntel-6-7D,V1.1,/ICL/metrics/icelake_metrics.json,metrics,,,
GenuineIntel-6-7E,V1.24,/ICL/events/icelake_core.json,core,,,
GenuineIntel-6-7E,V1.24,/ICL/events/icelake_uncore.json,uncore,,,
GenuineIntel-6-7E,V1.1,/ICL/metrics/icelake_metrics.json,metrics,,,
GenuineIntel-6-A7,V1.04,/RKL/events/rocketlake_core.json,core,,,
GenuineIntel-6-A7,V1.04,/RKL/events/rocketlake_uncore.json,uncore,,,
GenuineIntel-6-A7,V1.04,/RKL/events/rocketlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-A7,V1.0,/RKL/metrics/rocketlake_metrics.json,metrics,,,
GenuineIntel-6-86,V1.23,/SNR/events/snowridgex_core.json,core,,,
GenuineIntel-6-86,V1.23,/SNR/events/snowridgex_uncore.json,uncore,,,
GenuineIntel-6-86,V1.23,/SNR/events/snowridgex_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-8C,V1.19,/TGL/events/tigerlake_core.json,core,,,
GenuineIntel-6-8D,V1.19,/TGL/events/tigerlake_core.json,core,,,
GenuineIntel-6-8C,V1.19,/TGL/events/tigerlake_uncore.json,uncore,,,
GenuineIntel-6-8D,V1.19,/TGL/events/tigerlake_uncore.json,uncore,,,
GenuineIntel-6-8C,V1.19,/TGL/events/tigerlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-8D,V1.19,/TGL/events/tigerlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-8C,V1.1,/TGL/metrics/tigerlake_metrics.json,metrics,,,
GenuineIntel-6-8D,V1.1,/TGL/metrics/tigerlake_metrics.json,metrics,,,
GenuineIntel-6-8F,V1.36,/SPR/events/sapphirerapids_core.json,core,,,
GenuineIntel-6-8F,V1.36,/SPR/events/sapphirerapids_uncore.json,uncore,,,
GenuineIntel-6-8F,V1.36,/SPR/events/sapphirerapids_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-8F,V1.2,/SPR/metrics/sapphirerapids_metrics.json,metrics,,,
GenuineIntel-6-CF,V1.21,/EMR/events/emeraldrapids_core.json,core,,,
GenuineIntel-6-CF,V1.21,/EMR/events/emeraldrapids_uncore.json,uncore,,,
GenuineIntel-6-CF,V1.21,/EMR/events/emeraldrapids_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-CF,V1.2,/EMR/metrics/emeraldrapids_metrics.json,metrics,,,
GenuineIntel-6-6A,V1.30,/ICX/events/icelakex_core.json,core,,,
GenuineIntel-6-6A,V1.30,/ICX/events/icelakex_uncore.json,uncore,,,
GenuineIntel-6-6A,V1.30,/ICX/events/icelakex_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-6A,V1.1,/ICX/metrics/icelakex_metrics.json,metrics,,,
GenuineIntel-6-6C,V1.30,/ICX/events/icelakex_core.json,core,,,
GenuineIntel-6-6C,V1.30,/ICX/events/icelakex_uncore.json,uncore,,,
GenuineIntel-6-6C,V1.30,/ICX/events/icelakex_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-6C,V1.1,/ICX/metrics/icelakex_metrics.json,metrics,,,
GenuineIntel-6-96,V1.05,/EHL/events/elkhartlake_core.json,core,,,
GenuineIntel-6-9C,V1.05,/EHL/events/elkhartlake_core.json,core,,,
GenuineIntel-6-97,V1.36,/ADL/events/alderlake_gracemont_core.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-97,V1.36,/ADL/events/alderlake_goldencove_core.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-97,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-97,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-97,V1.1,/ADL/metrics/alderlake_metrics_goldencove_core.json,metrics,0x40,0x000001,Core
GenuineIntel-6-9A,V1.36,/ADL/events/alderlake_gracemont_core.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-9A,V1.36,/ADL/events/alderlake_goldencove_core.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-9A,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-9A,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-9A,V1.1,/ADL/metrics/alderlake_metrics_goldencove_core.json,metrics,0x40,0x000001,Core
GenuineIntel-6-B7,V1.36,/ADL/events/alderlake_gracemont_core.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-B7,V1.36,/ADL/events/alderlake_goldencove_core.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-B7,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-B7,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-B7,V1.1,/ADL/metrics/alderlake_metrics_goldencove_core.json,metrics,0x40,0x000001,Core
GenuineIntel-6-BA,V1.36,/ADL/events/alderlake_gracemont_core.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-BA,V1.36,/ADL/events/alderlake_goldencove_core.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-BA,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-BA,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-BA,V1.1,/ADL/metrics/alderlake_metrics_goldencove_core.json,metrics,0x40,0x000001,Core
GenuineIntel-6-BF,V1.36,/ADL/events/alderlake_gracemont_core.json,hybridcore,0x20,0x000001,Atom
GenuineIntel-6-BF,V1.36,/ADL/events/alderlake_goldencove_core.json,hybridcore,0x40,0x000001,Core
GenuineIntel-6-BF,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-BF,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-BF,V1.1,/ADL/metrics/alderlake_metrics_goldencove_core.json,metrics,0x40,0x000001,Core
GenuineIntel-6-BE,V1.36,/ADL/events/alderlake_gracemont_core.json,core,,,
GenuineIntel-6-BE,V1.36,/ADL/events/alderlake_uncore.json,uncore,,,
GenuineIntel-6-BE,V1.36,/ADL/events/alderlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AA,V1.19,/MTL/events/meteorlake_crestmont_core.json,hybridcore,0x20,0x000002,Atom
GenuineIntel-6-AA,V1.19,/MTL/events/meteorlake_redwoodcove_core.json,hybridcore,0x40,0x000002,Core
GenuineIntel-6-AA,V1.19,/MTL/events/meteorlake_uncore.json,uncore,,,
GenuineIntel-6-AA,V1.19,/MTL/events/meteorlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AA,V1.1,/MTL/metrics/meteorlake_metrics_redwoodcove_core.json,metrics,0x40,0x000002,Core
GenuineIntel-6-AC,V1.19,/MTL/events/meteorlake_crestmont_core.json,hybridcore,0x20,0x000002,Atom
GenuineIntel-6-AC,V1.19,/MTL/events/meteorlake_redwoodcove_core.json,hybridcore,0x40,0x000002,Core
GenuineIntel-6-AC,V1.19,/MTL/events/meteorlake_uncore.json,uncore,,,
GenuineIntel-6-AC,V1.19,/MTL/events/meteorlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AC,V1.1,/MTL/metrics/meteorlake_metrics_redwoodcove_core.json,metrics,0x40,0x000002,Core
GenuineIntel-6-B5,V1.19,/MTL/events/meteorlake_crestmont_core.json,hybridcore,0x20,0x000002,Atom
GenuineIntel-6-B5,V1.19,/MTL/events/meteorlake_redwoodcove_core.json,hybridcore,0x40,0x000002,Core
GenuineIntel-6-B5,V1.19,/MTL/events/meteorlake_uncore.json,uncore,,,
GenuineIntel-6-B5,V1.19,/MTL/events/meteorlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-B5,V1.1,/MTL/metrics/meteorlake_metrics_redwoodcove_core.json,metrics,0x40,0x000002,Core
GenuineIntel-6-AD,V1.17,/GNR/events/graniterapids_core.json,core,,,
GenuineIntel-6-AD,V1.17,/GNR/events/graniterapids_uncore.json,uncore,,,
GenuineIntel-6-AD,V1.17,/GNR/events/graniterapids_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AD,V1.1,/GNR/metrics/graniterapids_metrics.json,metrics,,,
GenuineIntel-6-AD,V1.08,/GNR/metrics/graniterapids_retire_latency.json,retire latency,,,
GenuineIntel-6-AE,V1.17,/GNR/events/graniterapids_core.json,core,,,
GenuineIntel-6-AE,V1.17,/GNR/events/graniterapids_uncore.json,uncore,,,
GenuineIntel-6-AE,V1.17,/GNR/events/graniterapids_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AE,V1.1,/GNR/metrics/graniterapids_metrics.json,metrics,,,
GenuineIntel-6-AE,V1.08,/GNR/metrics/graniterapids_retire_latency.json,retire latency,,,
GenuineIntel-6-AF,V1.14,/SRF/events/sierraforest_core.json,core,,,
GenuineIntel-6-AF,V1.14,/SRF/events/sierraforest_uncore.json,uncore,,,
GenuineIntel-6-AF,V1.14,/SRF/events/sierraforest_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-AF,V1.02,/SRF/metrics/sierraforest_metrics.json,metrics,,,
GenuineIntel-6-B6,V1.10,/GRR/events/grandridge_core.json,core,,,
GenuineIntel-6-B6,V1.10,/GRR/events/grandridge_uncore.json,uncore,,,
GenuineIntel-6-B6,V1.10,/GRR/events/grandridge_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-B6,V1.02,/GRR/metrics/grandridge_metrics.json,metrics,,,
GenuineIntel-6-BD,V1.20,/LNL/events/lunarlake_skymont_core.json,hybridcore,0x20,0x000003,Atom
GenuineIntel-6-BD,V1.20,/LNL/events/lunarlake_lioncove_core.json,hybridcore,0x40,0x000003,Core
GenuineIntel-6-BD,V1.20,/LNL/events/lunarlake_uncore.json,uncore,,,
GenuineIntel-6-BD,V1.20,/LNL/events/lunarlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-BD,V1.1,/LNL/metrics/lunarlake_metrics_lioncove_core.json,metrics,0x40,0x000003,Core
GenuineIntel-6-C5,V1.15,/ARL/events/arrowlake_skymont_core.json,hybridcore,0x20,0x000003,Atom
GenuineIntel-6-C5,V1.15,/ARL/events/arrowlake_crestmont_core.json,hybridcore,0x20,0x000002,LowPower_Atom
GenuineIntel-6-C5,V1.15,/ARL/events/arrowlake_lioncove_core.json,hybridcore,0x40,0x000003,Core
GenuineIntel-6-C5,V1.15,/ARL/events/arrowlake_uncore.json,uncore,,,
GenuineIntel-6-C5,V1.15,/ARL/events/arrowlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-C5,V1.1,/ARL/metrics/arrowlake_metrics_lioncove_core.json,metrics,0x40,0x000003,Core
GenuineIntel-6-C6,V1.15,/ARL/events/arrowlake_skymont_core.json,hybridcore,0x20,0x000003,Atom
GenuineIntel-6-C6,V1.15,/ARL/events/arrowlake_lioncove_core.json,hybridcore,0x40,0x000003,Core
GenuineIntel-6-C6,V1.15,/ARL/events/arrowlake_uncore.json,uncore,,,
GenuineIntel-6-C6,V1.15,/ARL/events/arrowlake_uncore_experimental.json,uncore experimental,,,
GenuineIntel-6-C6,V1.1,/ARL/metrics/arrowlake_metrics_lioncove_core.json,metrics,0x40,0x000003,Core
GenuineIntel-6-CC,V1.03,/PTL/events/pantherlake_darkmont_core.json,hybridcore,0x20,0x000004,Atom
GenuineIntel-6-CC,V1.03,/PTL/events/pantherlake_cougarcove_core.json,hybridcore,0x40,0x000004,Core
GenuineIntel-6-CC,V1.03,/PTL/events/pantherlake_uncore.json,uncore,,,
GenuineIntel-6-DD,V1.00,/CWF/events/clearwaterforest_core.json,core,,,
