Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed,QPCTime
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.331472,8.696,8.331,2.507,10.786,21.881,27388734059
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.345607,8.407,8.331,0.221,0.777,7.746,27388875406
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.339982,8.510,8.348,2.319,11.152,21.719,27388819163
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.353983,8.376,8.348,0.184,1.561,7.719,27388959166
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.349406,9.424,8.327,1.778,10.819,20.622,27388913402
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.362355,8.372,8.327,0.175,0.720,7.673,27389042886
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.356417,25.615,24.986,0.168,1.519,13.643,27388983507
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.358163,8.757,8.341,2.094,11.195,20.206,27389000967
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.370497,8.142,8.341,0.136,0.609,7.872,27389124308
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.364528,8.111,8.341,0.122,1.923,13.873,27389064619
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.366811,8.648,8.363,2.553,10.739,19.921,27389087451
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.378813,8.316,8.363,0.163,0.487,7.919,27389207470
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.376109,9.298,8.352,1.442,9.707,18.975,27389180431
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.387176,8.363,8.352,0.175,0.426,7.909,27389291099
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.383645,7.536,8.325,2.195,10.616,19.764,27389255787
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.395507,8.331,8.325,0.207,0.462,7.902,27389374408
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.392196,8.551,8.373,2.075,11.124,19.586,27389341300
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.403922,8.415,8.373,0.153,1.202,7.860,27389458555
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.397587,33.059,33.411,0.105,2.808,14.224,27389395211
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.400133,7.937,8.361,3.203,11.655,20.010,27389420673
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.412226,8.305,8.361,0.194,1.284,7.917,27389541602
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.409701,9.567,8.303,2.060,10.365,18.746,27389516346
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.420578,8.352,8.303,0.147,1.235,7.868,27389625124
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.417695,7.994,8.355,2.390,10.590,19.106,27389596291
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.428963,8.384,8.355,0.159,1.131,7.839,27389708966
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.426230,8.535,16.681,2.064,11.031,27.253,27389681637
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.445678,16.715,16.681,0.331,0.566,7.805,27389876116
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.431195,33.608,41.705,0.146,8.401,22.321,27389731289
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.434633,8.403,8.345,2.641,11.001,27.194,27389765667
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.454049,8.371,8.345,0.146,0.846,7.778,27389959830
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.448015,16.820,8.354,0.139,0.538,13.856,27389899486
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.443893,9.261,8.357,1.759,11.207,26.291,27389858272
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.462325,8.276,8.357,0.189,1.012,7.859,27390042593
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.453096,9.203,8.332,2.025,10.585,25.420,27389950300
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.470703,8.378,8.332,0.185,0.539,7.813,27390126370
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.465643,17.628,16.679,0.143,0.879,12.907,27390075767
AMD Ryzen Master.exe,16864,0x0000000000000000,Other,-1,0,0,Composed: Copy with GPU GDI,0,11.468637,933.039,934.543,0.000,1.650,18.223,27390105704
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.461750,8.654,8.344,2.139,11.861,25.110,27390036839
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.479091,8.388,8.344,0.208,0.464,7.769,27390210247
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.470399,8.649,8.353,3.223,12.166,24.813,27390123329
