Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed,QPCTime
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.756908,8.592,8.343,0.126,1.976,13.683,27392988424
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.759189,8.811,8.365,2.717,10.972,19.735,27393011228
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.770984,8.205,8.365,0.147,0.985,7.940,27393129175
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.779569,8.585,8.332,0.229,0.486,7.687,27393215025
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.764994,8.086,16.695,0.148,7.492,22.293,27393069282
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.773516,8.521,0.001,0.146,1.952,13.772,27393154494
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.768387,9.198,16.669,1.801,11.088,27.206,27393103208
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.787775,8.206,8.337,0.189,0.941,7.818,27393297088
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.781870,8.354,8.339,0.134,0.932,13.757,27393238035
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.776701,8.314,8.350,2.790,12.202,27.242,27393186350
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.796077,8.302,8.350,0.144,0.700,7.866,27393380106
firefox.exe,7084,0x0000024608CE1060,DXGI,0,0,0,Composed: Flip,0,11.790504,8.635,8.351,0.261,0.732,13.473,27393324382
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,11.785838,9.137,8.364,3.105,12.106,26.469,27393277720
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,11.804433,8.356,8.364,0.153,1.322,7.874,27393463671
