Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.172700,7.662,8.335,2.868,11.088,23.925
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.188836,8.388,8.335,0.183,0.785,7.790
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.181978,9.278,8.361,1.826,10.011,23.008
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.197173,8.337,8.361,0.187,0.620,7.813
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.189516,7.538,8.342,2.490,10.613,23.812
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.205520,8.348,8.342,0.210,0.417,7.808
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.198453,8.936,8.320,1.702,9.907,23.196
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.213914,8.393,8.320,0.900,1.743,7.735
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.205971,7.518,8.357,2.409,10.739,24.035
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.222197,8.283,8.357,0.168,1.607,7.808
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.214350,8.380,8.346,2.390,10.419,24.000
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.230328,8.131,8.346,0.126,0.372,8.023
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.222680,8.329,8.334,2.103,10.525,24.005
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.238871,8.544,8.334,0.166,1.489,7.813
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.230860,8.180,8.327,2.343,10.474,24.151
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.247101,8.229,8.327,0.813,1.522,7.911
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.239459,8.599,8.364,1.898,10.128,23.917
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.255298,8.198,8.364,0.087,1.552,8.077
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.247577,8.118,8.337,2.038,10.236,24.136
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.263684,8.385,8.337,0.117,1.401,8.029
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.255420,7.843,8.379,2.407,10.631,24.672
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.272261,8.577,8.379,0.209,0.977,7.831
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.263735,8.315,8.328,2.328,10.473,24.685
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.280639,8.379,8.328,0.199,0.755,7.781
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.271825,8.090,8.324,2.406,10.540,24.920
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.288924,8.285,8.324,0.145,0.813,7.820
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.280301,8.477,8.349,2.093,10.400,24.792
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.297282,8.358,8.349,0.191,0.631,7.811
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.288009,7.707,8.343,2.704,10.858,25.427
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.305563,8.281,8.343,0.142,0.571,7.873
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.296520,8.511,8.354,2.389,10.648,25.270
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.313962,8.399,8.354,0.910,0.895,7.828
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.304941,8.422,8.337,2.247,10.573,25.186
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.322332,8.370,8.337,0.151,0.388,7.795
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.313146,8.204,8.342,2.391,10.673,25.323
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.330623,8.292,8.342,0.153,0.493,7.846
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.321252,8.106,8.357,2.577,10.831,25.575
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.338954,8.330,8.357,0.175,0.431,7.873
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.329451,8.199,8.353,2.691,10.912,25.729
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.347395,8.441,8.353,0.907,0.847,7.784
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.338048,8.597,8.329,2.329,10.304,25.460
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.355621,8.226,8.329,0.190,0.926,7.887
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.346535,8.487,8.350,1.888,10.216,25.324
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.364014,8.393,8.350,0.159,0.589,7.845
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.354238,7.704,8.337,2.527,10.565,25.957
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.372313,8.299,8.337,0.239,0.484,7.882
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.363220,8.982,8.350,1.600,9.927,25.325
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.380752,8.439,8.350,0.156,0.390,7.793
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.371119,7.899,8.345,2.028,10.317,25.771
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.388992,8.240,8.345,0.167,0.450,7.898
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.378723,7.603,8.332,2.755,10.901,26.499
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.397400,8.408,8.332,0.282,0.604,7.822
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.387619,8.896,8.349,2.004,9.777,25.952
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.405694,8.293,8.349,0.168,0.389,7.877
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.396034,8.415,8.338,1.388,9.811,25.875
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.414088,8.394,8.338,0.813,0.745,7.820
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.403353,7.319,8.346,2.820,11.260,26.901
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.422443,8.354,8.346,0.176,0.381,7.812
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.412069,8.716,8.353,2.546,10.529,26.538
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.430811,8.368,8.353,0.201,0.720,7.797
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.421291,9.222,8.360,1.603,9.626,25.676
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.438987,8.177,8.360,0.144,0.429,7.980
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.428750,7.458,8.320,2.193,10.863,26.537
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.447482,8.495,8.320,0.284,0.431,7.805
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.437683,8.933,8.355,1.963,9.634,25.960
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.455862,8.380,8.355,0.171,0.371,7.781
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.445747,8.064,8.333,1.605,9.979,26.229
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.464164,8.303,8.333,0.900,0.913,7.811
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.453302,7.555,8.344,2.416,10.745,27.017
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.472549,8.385,8.344,0.207,0.427,7.770
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.461614,8.312,8.340,2.466,10.839,27.045
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.480868,8.319,8.340,0.376,0.583,7.792
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.471154,9.540,8.349,1.314,9.720,25.854
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.489160,8.292,8.349,0.299,0.597,7.849
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.478388,7.234,8.354,2.514,10.793,26.974
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.497556,8.397,8.354,0.182,1.484,7.806
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,1,0.486695,8.307,0.000,2.508,10.537,0.000
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.494813,8.118,8.374,2.455,10.591,18.922
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.505875,8.319,8.374,0.146,1.350,7.860
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.503306,8.492,8.312,2.119,10.527,18.742
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.514201,8.326,8.312,0.347,1.371,7.846
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.511329,8.023,8.354,2.524,10.725,19.072
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.522586,8.385,8.354,0.172,1.241,7.815
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.520332,9.003,8.335,1.779,10.078,18.404
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.530987,8.401,8.335,0.256,1.125,7.749
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.527652,7.320,8.353,2.740,10.923,19.437
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.539202,8.214,8.353,0.157,1.100,7.888
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.536571,8.919,8.313,2.014,10.234,18.831
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.547642,8.440,8.313,0.200,0.932,7.760
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.544521,7.950,8.342,2.329,10.462,19.222
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.555872,8.230,8.342,0.195,0.814,7.871
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.552875,8.354,8.343,2.129,10.152,19.212
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.564263,8.390,8.343,0.507,0.536,7.824
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.561141,8.267,8.365,1.922,10.245,19.311
